"Label (Grouping)","Gini Index"
"    Estimate","0.4738"
"Boone, NC Micro Area",""
"    Estimate","0.5087"
"Borger, TX Micro Area",""
"    Estimate","0.4190"
"Boston-Cambridge-Newton, MA-NH Metro Area",""
"    Estimate","0.4847"
"Boulder, CO Metro Area",""
"    Estimate","0.4881"
"Bowling Green, KY Metro Area",""
"    Estimate","0.4764"
"Bozeman, MT Micro Area",""
"    Estimate","0.4705"
"Bradford, PA Micro Area",""
"    Estimate","0.4453"
"Brainerd, MN Micro Area",""
"    Estimate","0.4304"
"Branson, MO Micro Area",""
"    Estimate","0.4384"
"Breckenridge, CO Micro Area",""
"    Estimate","0.4305"
"Bremerton-Silverdale-Port Orchard, WA Metro Area",""
"    Estimate","0.4311"
"Brenham, TX Micro Area",""
"    Estimate","0.4888"
"Brevard, NC Micro Area",""
"    Estimate","0.4497"
"Bridgeport-Stamford-Norwalk, CT Metro Area",""
"    Estimate","0.5441"
"Brookhaven, MS Micro Area",""
"    Estimate","0.4782"
"Brookings, OR Micro Area",""
"    Estimate","0.4380"
"Brookings, SD Micro Area",""
"    Estimate","0.4052"
"Brownsville, TN Micro Area",""
"    Estimate","0.4708"
"Brownsville-Harlingen, TX Metro Area",""
"    Estimate","0.4678"
"Brownwood, TX Micro Area",""
"    Estimate","0.4562"
"Brunswick, GA Metro Area",""
"    Estimate","0.4943"
"Bucyrus-Galion, OH Micro Area",""
"    Estimate","0.4206"
"Buffalo-Cheektowaga, NY Metro Area",""
"    Estimate","0.4600"
"Burley, ID Micro Area",""
"    Estimate","0.4404"
"Burlington, IA-IL Micro Area",""
"    Estimate","0.4645"
"Burlington, NC Metro Area",""
"    Estimate","0.4398"
"Burlington-South Burlington, VT Metro Area",""
"    Estimate","0.4398"
"Butte-Silver Bow, MT Micro Area",""
"    Estimate","0.4963"
"Cadillac, MI Micro Area",""
"    Estimate","0.4318"
"Calhoun, GA Micro Area",""
"    Estimate","0.4504"
"California-Lexington Park, MD Metro Area",""
"    Estimate","0.4102"
"Cambridge, MD Micro Area",""
"    Estimate","0.4714"
"Cambridge, OH Micro Area",""
"    Estimate","0.4333"
"Camden, AR Micro Area",""
"    Estimate","0.4303"
"Campbellsville, KY Micro Area",""
"    Estimate","0.4563"
"Cañon City, CO Micro Area",""
"    Estimate","0.4666"
"Canton-Massillon, OH Metro Area",""
"    Estimate","0.4448"
"Cape Coral-Fort Myers, FL Metro Area",""
"    Estimate","0.4799"
"Cape Girardeau, MO-IL Metro Area",""
"    Estimate","0.4454"
"Carbondale-Marion, IL Metro Area",""
"    Estimate","0.4775"
"Carlsbad-Artesia, NM Micro Area",""
"    Estimate","0.4312"
"Carroll, IA Micro Area",""
"    Estimate","0.4197"
"Carson City, NV Metro Area",""
"    Estimate","0.4583"
"Casper, WY Metro Area",""
"    Estimate","0.4426"
"Cedar City, UT Micro Area",""
"    Estimate","0.4207"
"Cedar Rapids, IA Metro Area",""
"    Estimate","0.4382"
"Cedartown, GA Micro Area",""
"    Estimate","0.4478"
"Celina, OH Micro Area",""
"    Estimate","0.3891"
"Central City, KY Micro Area",""
"    Estimate","0.5060"
"Centralia, IL Micro Area",""
"    Estimate","0.4308"
"Centralia, WA Micro Area",""
"    Estimate","0.4229"
"Chambersburg-Waynesboro, PA Metro Area",""
"    Estimate","0.4210"
"Champaign-Urbana, IL Metro Area",""
"    Estimate","0.4918"
"Charleston, WV Metro Area",""
"    Estimate","0.4871"
"Charleston-Mattoon, IL Micro Area",""
"    Estimate","0.4627"
"Charleston-North Charleston, SC Metro Area",""
"    Estimate","0.4817"
"Charlotte-Concord-Gastonia, NC-SC Metro Area",""
"    Estimate","0.4749"
"Charlottesville, VA Metro Area",""
"    Estimate","0.4922"
"Chattanooga, TN-GA Metro Area",""
"    Estimate","0.4738"
"Cheyenne, WY Metro Area",""
"    Estimate","0.4390"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",""
"    Estimate","0.4817"
"Chico, CA Metro Area",""
"    Estimate","0.4831"
"Chillicothe, OH Micro Area",""
"    Estimate","0.4452"
"Cincinnati, OH-KY-IN Metro Area",""
"    Estimate","0.4669"
"Clarksburg, WV Micro Area",""
"    Estimate","0.4550"
"Clarksdale, MS Micro Area",""
"    Estimate","0.5220"
"Clarksville, TN-KY Metro Area",""
"    Estimate","0.4228"
"Clearlake, CA Micro Area",""
"    Estimate","0.4904"
"Cleveland, MS Micro Area",""
"    Estimate","0.5585"
"Cleveland, TN Metro Area",""
"    Estimate","0.4487"
"Cleveland-Elyria, OH Metro Area",""
"    Estimate","0.4840"
"Clewiston, FL Micro Area",""
"    Estimate","0.4724"
"Clinton, IA Micro Area",""
"    Estimate","0.4319"
"Clovis, NM Micro Area",""
"    Estimate","0.4520"
"Coamo, PR Micro Area",""
"    Estimate","0.5123"
"Coco, PR Micro Area",""
"    Estimate","0.4840"
"Coeur d'Alene, ID Metro Area",""
"    Estimate","0.4291"
"Coffeyville, KS Micro Area",""
"    Estimate","0.4310"
"Coldwater, MI Micro Area",""
"    Estimate","0.4201"
"College Station-Bryan, TX Metro Area",""
"    Estimate","0.5081"
"Colorado Springs, CO Metro Area",""
"    Estimate","0.4302"
"Columbia, MO Metro Area",""
"    Estimate","0.4705"
"Columbia, SC Metro Area",""
"    Estimate","0.4654"
"Columbus, GA-AL Metro Area",""
"    Estimate","0.4773"
"Columbus, IN Metro Area",""
"    Estimate","0.4378"
"Columbus, MS Micro Area",""
"    Estimate","0.4870"
"Columbus, NE Micro Area",""
"    Estimate","0.4147"
"Columbus, OH Metro Area",""
"    Estimate","0.4583"
"Concord, NH Micro Area",""
"    Estimate","0.4352"
"Connersville, IN Micro Area",""
"    Estimate","0.4118"
"Cookeville, TN Micro Area",""
"    Estimate","0.4653"
"Coos Bay, OR Micro Area",""
"    Estimate","0.4545"
"Cordele, GA Micro Area",""
"    Estimate","0.4835"
"Corinth, MS Micro Area",""
"    Estimate","0.4855"
"Cornelia, GA Micro Area",""
"    Estimate","0.4582"
"Corning, NY Micro Area",""
"    Estimate","0.4477"
"Corpus Christi, TX Metro Area",""
"    Estimate","0.4622"
"Corsicana, TX Micro Area",""
"    Estimate","0.4572"
"Cortland, NY Micro Area",""
"    Estimate","0.4053"
"Corvallis, OR Metro Area",""
"    Estimate","0.4750"
"Coshocton, OH Micro Area",""
"    Estimate","0.4435"
"Craig, CO Micro Area",""
"    Estimate","0.4444"
"Crawfordsville, IN Micro Area",""
"    Estimate","0.4266"
"Crescent City, CA Micro Area",""
"    Estimate","0.4318"
"Crestview-Fort Walton Beach-Destin, FL Metro Area",""
"    Estimate","0.4554"
"Crossville, TN Micro Area",""
"    Estimate","0.4229"
"Cullman, AL Micro Area",""
"    Estimate","0.4425"
"Cullowhee, NC Micro Area",""
"    Estimate","0.4803"
"Cumberland, MD-WV Metro Area",""
"    Estimate","0.4499"
"Dallas-Fort Worth-Arlington, TX Metro Area",""
"    Estimate","0.4637"
"Dalton, GA Metro Area",""
"    Estimate","0.4400"
"Danville, IL Metro Area",""
"    Estimate","0.4348"
"Danville, KY Micro Area",""
"    Estimate","0.4660"
"Danville, VA Micro Area",""
"    Estimate","0.4658"
"Daphne-Fairhope-Foley, AL Metro Area",""
"    Estimate","0.4648"
"Davenport-Moline-Rock Island, IA-IL Metro Area",""
"    Estimate","0.4474"
"Dayton, TN Micro Area",""
"    Estimate","0.4178"
"Dayton-Kettering, OH Metro Area",""
"    Estimate","0.4528"
"Decatur, AL Metro Area",""
"    Estimate","0.4499"
"Decatur, IL Metro Area",""
"    Estimate","0.4661"
"Decatur, IN Micro Area",""
"    Estimate","0.3883"
"Defiance, OH Micro Area",""
"    Estimate","0.3973"
"Del Rio, TX Micro Area",""
"    Estimate","0.4389"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",""
"    Estimate","0.4522"
"Deming, NM Micro Area",""
"    Estimate","0.4510"
"Denver-Aurora-Lakewood, CO Metro Area",""
"    Estimate","0.4482"
"DeRidder, LA Micro Area",""
"    Estimate","0.4211"
"Des Moines-West Des Moines, IA Metro Area",""
"    Estimate","0.4322"
"Detroit-Warren-Dearborn, MI Metro Area",""
"    Estimate","0.4726"
"Dickinson, ND Micro Area",""
"    Estimate","0.4306"
"Dixon, IL Micro Area",""
"    Estimate","0.4382"
"Dodge City, KS Micro Area",""
"    Estimate","0.3966"
"Dothan, AL Metro Area",""
"    Estimate","0.4754"
"Douglas, GA Micro Area",""
"    Estimate","0.4622"
"Dover, DE Metro Area",""
"    Estimate","0.4068"
"Dublin, GA Micro Area",""
"    Estimate","0.5126"
"DuBois, PA Micro Area",""
"    Estimate","0.4329"
"Dubuque, IA Metro Area",""
"    Estimate","0.4432"
"Duluth, MN-WI Metro Area",""
"    Estimate","0.4414"
"Dumas, TX Micro Area",""
"    Estimate","0.4123"
"Duncan, OK Micro Area",""
"    Estimate","0.4580"
"Durango, CO Micro Area",""
"    Estimate","0.4442"
"Durant, OK Micro Area",""
"    Estimate","0.4626"
"Durham-Chapel Hill, NC Metro Area",""
"    Estimate","0.4831"
"Dyersburg, TN Micro Area",""
"    Estimate","0.5870"
"Eagle Pass, TX Micro Area",""
"    Estimate","0.4605"
"Easton, MD Micro Area",""
"    Estimate","0.4975"
"East Stroudsburg, PA Metro Area",""
"    Estimate","0.4234"
"Eau Claire, WI Metro Area",""
"    Estimate","0.4325"
"Edwards, CO Micro Area",""
"    Estimate","0.4881"
"Effingham, IL Micro Area",""
"    Estimate","0.4362"
"El Campo, TX Micro Area",""
"    Estimate","0.4530"
"El Centro, CA Metro Area",""
"    Estimate","0.4589"
"El Dorado, AR Micro Area",""
"    Estimate","0.4882"
"Elizabeth City, NC Micro Area",""
"    Estimate","0.4304"
"Elizabethtown-Fort Knox, KY Metro Area",""
"    Estimate","0.4567"
"Elk City, OK Micro Area",""
"    Estimate","0.4591"
"Elkhart-Goshen, IN Metro Area",""
"    Estimate","0.4423"
"Elkins, WV Micro Area",""
"    Estimate","0.4431"
"Elko, NV Micro Area",""
"    Estimate","0.4130"
"Ellensburg, WA Micro Area",""
"    Estimate","0.4598"
"Elmira, NY Metro Area",""
"    Estimate","0.4596"
"El Paso, TX Metro Area",""
"    Estimate","0.4663"
"Emporia, KS Micro Area",""
"    Estimate","0.4373"
"Enid, OK Metro Area",""
"    Estimate","0.4464"
"Enterprise, AL Micro Area",""
"    Estimate","0.4354"
"Erie, PA Metro Area",""
"    Estimate","0.4573"
"Escanaba, MI Micro Area",""
"    Estimate","0.4505"
"Española, NM Micro Area",""
"    Estimate","0.4670"
"Eufaula, AL-GA Micro Area",""
"    Estimate","0.5075"
"Eugene-Springfield, OR Metro Area",""
"    Estimate","0.4632"
"Eureka-Arcata, CA Micro Area",""
"    Estimate","0.4811"
"Evanston, WY Micro Area",""
"    Estimate","0.3615"
"Evansville, IN-KY Metro Area",""
"    Estimate","0.4575"
"Fairbanks, AK Metro Area",""
"    Estimate","0.4242"
"Fairfield, IA Micro Area",""
"    Estimate","0.5262"
"Fairmont, MN Micro Area",""
"    Estimate","0.4190"
"Fairmont, WV Micro Area",""
"    Estimate","0.4186"
"Fallon, NV Micro Area",""
"    Estimate","0.4219"
"Fargo, ND-MN Metro Area",""
"    Estimate","0.4607"
"Faribault-Northfield, MN Micro Area",""
"    Estimate","0.4327"
"Farmington, MO Micro Area",""
"    Estimate","0.4333"
"Farmington, NM Metro Area",""
"    Estimate","0.4697"
"Fayetteville, NC Metro Area",""
"    Estimate","0.4482"
"Fayetteville-Springdale-Rogers, AR Metro Area",""
"    Estimate","0.4731"
"Fergus Falls, MN Micro Area",""
"    Estimate","0.4343"
"Fernley, NV Micro Area",""
"    Estimate","0.4195"
"Findlay, OH Micro Area",""
"    Estimate","0.4401"
"Fitzgerald, GA Micro Area",""
"    Estimate","0.4989"
"Flagstaff, AZ Metro Area",""
"    Estimate","0.4603"
"Flint, MI Metro Area",""
"    Estimate","0.4666"
"Florence, SC Metro Area",""
"    Estimate","0.4914"
"Florence-Muscle Shoals, AL Metro Area",""
"    Estimate","0.4573"
"Fond du Lac, WI Metro Area",""
"    Estimate","0.4052"
"Forest City, NC Micro Area",""
"    Estimate","0.4697"
"Forrest City, AR Micro Area",""
"    Estimate","0.4989"
"Fort Collins, CO Metro Area",""
"    Estimate","0.4502"
"Fort Dodge, IA Micro Area",""
"    Estimate","0.4380"
"Fort Leonard Wood, MO Micro Area",""
"    Estimate","0.4093"
"Fort Madison-Keokuk, IA-IL-MO Micro Area",""
"    Estimate","0.4480"
"Fort Morgan, CO Micro Area",""
"    Estimate","0.4105"
"Fort Payne, AL Micro Area",""
"    Estimate","0.4555"
"Fort Polk South, LA Micro Area",""
"    Estimate","0.4552"
"Fort Smith, AR-OK Metro Area",""
"    Estimate","0.4810"
"Fort Wayne, IN Metro Area",""
"    Estimate","0.4443"
"Frankfort, IN Micro Area",""
"    Estimate","0.3823"
"Frankfort, KY Micro Area",""
"    Estimate","0.4408"
"Fredericksburg, TX Micro Area",""
"    Estimate","0.4673"
"Freeport, IL Micro Area",""
"    Estimate","0.4362"
"Fremont, NE Micro Area",""
"    Estimate","0.4064"
"Fremont, OH Micro Area",""
"    Estimate","0.4351"
"Fresno, CA Metro Area",""
"    Estimate","0.4730"
"Gadsden, AL Metro Area",""
"    Estimate","0.4556"
"Gaffney, SC Micro Area",""
"    Estimate","0.4753"
"Gainesville, FL Metro Area",""
"    Estimate","0.5139"
"Gainesville, GA Metro Area",""
"    Estimate","0.4529"
"Gainesville, TX Micro Area",""
"    Estimate","0.4547"
"Galesburg, IL Micro Area",""
"    Estimate","0.4620"
"Gallup, NM Micro Area",""
"    Estimate","0.5013"
"Garden City, KS Micro Area",""
"    Estimate","0.4008"
"Gardnerville Ranchos, NV Micro Area",""
"    Estimate","0.4656"
"Georgetown, SC Micro Area",""
"    Estimate","0.4938"
"Gettysburg, PA Metro Area",""
"    Estimate","0.3952"
"Gillette, WY Micro Area",""
"    Estimate","0.3995"
"Glasgow, KY Micro Area",""
"    Estimate","0.4624"
"Glens Falls, NY Metro Area",""
"    Estimate","0.4310"
"Glenwood Springs, CO Micro Area",""
"    Estimate","0.4910"
"Gloversville, NY Micro Area",""
"    Estimate","0.4378"
"Goldsboro, NC Metro Area",""
"    Estimate","0.4663"
"Granbury, TX Micro Area",""
"    Estimate","0.4556"
"Grand Forks, ND-MN Metro Area",""
"    Estimate","0.4478"
"Grand Island, NE Metro Area",""
"    Estimate","0.4382"
"Grand Junction, CO Metro Area",""
"    Estimate","0.4395"
"Grand Rapids, MN Micro Area",""
"    Estimate","0.4320"
"Grand Rapids-Kentwood, MI Metro Area",""
"    Estimate","0.4383"
"Grants, NM Micro Area",""
"    Estimate","0.4276"
"Grants Pass, OR Metro Area",""
"    Estimate","0.4716"
"Great Bend, KS Micro Area",""
"    Estimate","0.4307"
"Great Falls, MT Metro Area",""
"    Estimate","0.4510"
"Greeley, CO Metro Area",""
"    Estimate","0.4201"
"Green Bay, WI Metro Area",""
"    Estimate","0.4277"
"Greeneville, TN Micro Area",""
"    Estimate","0.4493"
"Greensboro-High Point, NC Metro Area",""
"    Estimate","0.4763"
"Greensburg, IN Micro Area",""
"    Estimate","0.4167"
"Greenville, MS Micro Area",""
"    Estimate","0.4957"
"Greenville, NC Metro Area",""
"    Estimate","0.4788"
"Greenville, OH Micro Area",""
"    Estimate","0.4421"
"Greenville-Anderson, SC Metro Area",""
"    Estimate","0.4761"
"Greenwood, MS Micro Area",""
"    Estimate","0.5421"
"Greenwood, SC Micro Area",""
"    Estimate","0.4991"
"Grenada, MS Micro Area",""
"    Estimate","0.4992"
"Guayama, PR Metro Area",""
"    Estimate","0.5298"
"Gulfport-Biloxi, MS Metro Area",""
"    Estimate","0.4625"
"Guymon, OK Micro Area",""
"    Estimate","0.4023"
"Hagerstown-Martinsburg, MD-WV Metro Area",""
"    Estimate","0.4248"
"Hailey, ID Micro Area",""
"    Estimate","0.4649"
"Hammond, LA Metro Area",""
"    Estimate","0.4750"
"Hanford-Corcoran, CA Metro Area",""
"    Estimate","0.4126"
"Hannibal, MO Micro Area",""
"    Estimate","0.4372"
"Harrisburg-Carlisle, PA Metro Area",""
"    Estimate","0.4398"
"Harrison, AR Micro Area",""
"    Estimate","0.4436"
"Harrisonburg, VA Metro Area",""
"    Estimate","0.4492"
"Hartford-East Hartford-Middletown, CT Metro Area",""
"    Estimate","0.4655"
"Hastings, NE Micro Area",""
"    Estimate","0.4651"
"Hattiesburg, MS Metro Area",""
"    Estimate","0.4904"
"Hays, KS Micro Area",""
"    Estimate","0.4976"
"Heber, UT Micro Area",""
"    Estimate","0.5032"
"Helena, MT Micro Area",""
"    Estimate","0.4354"
"Helena-West Helena, AR Micro Area",""
"    Estimate","0.4990"
"Henderson, NC Micro Area",""
"    Estimate","0.4580"
"Hereford, TX Micro Area",""
"    Estimate","0.4051"
"Hermiston-Pendleton, OR Micro Area",""
"    Estimate","0.4169"
"Hickory-Lenoir-Morganton, NC Metro Area",""
"    Estimate","0.4555"
"Hillsdale, MI Micro Area",""
"    Estimate","0.4215"
"Hilo, HI Micro Area",""
"    Estimate","0.4772"
"Hilton Head Island-Bluffton, SC Metro Area",""
"    Estimate","0.4804"
"Hinesville, GA Metro Area",""
"    Estimate","0.4092"
"Hobbs, NM Micro Area",""
"    Estimate","0.4733"
"Holland, MI Micro Area",""
"    Estimate","0.4102"
"Homosassa Springs, FL Metro Area",""
"    Estimate","0.4782"
"Hood River, OR Micro Area",""
"    Estimate","0.4526"
"Hope, AR Micro Area",""
"    Estimate","0.4644"
"Hot Springs, AR Metro Area",""
"    Estimate","0.4606"
"Houghton, MI Micro Area",""
"    Estimate","0.4781"
"Houma-Thibodaux, LA Metro Area",""
"    Estimate","0.4786"
"Houston-The Woodlands-Sugar Land, TX Metro Area",""
"    Estimate","0.4827"
"Hudson, NY Micro Area",""
"    Estimate","0.4813"
"Huntingdon, PA Micro Area",""
"    Estimate","0.4268"
"Huntington, IN Micro Area",""
"    Estimate","0.4059"
"Huntington-Ashland, WV-KY-OH Metro Area",""
"    Estimate","0.4810"
"Huntsville, AL Metro Area",""
"    Estimate","0.4620"
"Huntsville, TX Micro Area",""
"    Estimate","0.4672"
"Huron, SD Micro Area",""
"    Estimate","0.4480"
"Hutchinson, KS Micro Area",""
"    Estimate","0.4366"
"Hutchinson, MN Micro Area",""
"    Estimate","0.4248"
"Idaho Falls, ID Metro Area",""
"    Estimate","0.4268"
"Indiana, PA Micro Area",""
"    Estimate","0.4455"
"Indianapolis-Carmel-Anderson, IN Metro Area",""
"    Estimate","0.4655"
"Indianola, MS Micro Area",""
"    Estimate","0.4890"
"Iowa City, IA Metro Area",""
"    Estimate","0.4846"
"Iron Mountain, MI-WI Micro Area",""
"    Estimate","0.4351"
"Ithaca, NY Metro Area",""
"    Estimate","0.4945"
"Jackson, MI Metro Area",""
"    Estimate","0.4456"
"Jackson, MS Metro Area",""
"    Estimate","0.4842"
"Jackson, OH Micro Area",""
"    Estimate","0.4600"
"Jackson, TN Metro Area",""
"    Estimate","0.4579"
"Jackson, WY-ID Micro Area",""
"    Estimate","0.5197"
"Jacksonville, FL Metro Area",""
"    Estimate","0.4663"
"Jacksonville, IL Micro Area",""
"    Estimate","0.4391"
"Jacksonville, NC Metro Area",""
"    Estimate","0.4196"
"Jacksonville, TX Micro Area",""
"    Estimate","0.4446"
"Jamestown, ND Micro Area",""
"    Estimate","0.4981"
"Jamestown-Dunkirk-Fredonia, NY Micro Area",""
"    Estimate","0.4481"
"Janesville-Beloit, WI Metro Area",""
"    Estimate","0.4020"
"Jasper, AL Micro Area",""
"    Estimate","0.4543"
"Jasper, IN Micro Area",""
"    Estimate","0.4051"
"Jayuya, PR Micro Area",""
"    Estimate","0.4593"
"Jefferson, GA Micro Area",""
"    Estimate","0.4099"
"Jefferson City, MO Metro Area",""
"    Estimate","0.4187"
"Jennings, LA Micro Area",""
"    Estimate","0.4590"
"Jesup, GA Micro Area",""
"    Estimate","0.4559"
"Johnson City, TN Metro Area",""
"    Estimate","0.4809"
"Johnstown, PA Metro Area",""
"    Estimate","0.4513"
"Jonesboro, AR Metro Area",""
"    Estimate","0.4929"
"Joplin, MO Metro Area",""
"    Estimate","0.4551"
"Juneau, AK Micro Area",""
"    Estimate","0.4037"
"Kahului-Wailuku-Lahaina, HI Metro Area",""
"    Estimate","0.4439"
"Kalamazoo-Portage, MI Metro Area",""
"    Estimate","0.4609"
"Kalispell, MT Micro Area",""
"    Estimate","0.4587"
"Kankakee, IL Metro Area",""
"    Estimate","0.4370"
"Kansas City, MO-KS Metro Area",""
"    Estimate","0.4518"
"Kapaa, HI Micro Area",""
"    Estimate","0.4405"
"Kearney, NE Micro Area",""
"    Estimate","0.4411"
"Keene, NH Micro Area",""
"    Estimate","0.4285"
"Kendallville, IN Micro Area",""
"    Estimate","0.3826"
"Kennett, MO Micro Area",""
"    Estimate","0.4878"
"Kennewick-Richland, WA Metro Area",""
"    Estimate","0.4258"
"Kerrville, TX Micro Area",""
"    Estimate","0.4571"
"Ketchikan, AK Micro Area",""
"    Estimate","0.4376"
"Key West, FL Micro Area",""
"    Estimate","0.5169"
"Kill Devil Hills, NC Micro Area",""
"    Estimate","0.4171"
"Killeen-Temple, TX Metro Area",""
"    Estimate","0.4457"
"Kingsport-Bristol, TN-VA Metro Area",""
"    Estimate","0.4716"
"Kingston, NY Metro Area",""
